Loan_ID,Issue_Date,Loan_Amount,Interest_Rate,Term,Annual_Income,Employment_Length,Purpose,Loan_Status
CST1495,8/15/2017,287755,14.18,60 months,101299,5-10 years,Vacation,Fully Paid
CST1496,8/2/2020,153056,6.96,60 months,30911,1-3 years,Education,Charged Off
CST1497,3/5/2016,19060,12.23,36 months,92087,1-3 years,Car Loan,Current
CST1498,3/17/2017,219057,13.86,36 months,184959,5-10 years,Education,Fully Paid
CST1499,6/10/2017,482272,15,36 months,197571,< 1 year,Home Improvement,Fully Paid
CST1500,5/9/2018,310447,22.76,36 months,34172,1-3 years,Home Improvement,Fully Paid
CST1501,8/2/2023,195279,8.4,60 months,118135,1-3 years,Education,Current
CST1502,12/27/2019,211118,15.58,36 months,144534,5-10 years,Vacation,Current
CST1503,7/26/2015,165359,12.94,60 months,145232,3-5 years,Home Improvement,Fully Paid
CST1504,1/27/2021,491925,23.83,60 months,187530,3-5 years,Credit Card,Current
CST1505,6/30/2017,44711,21.58,36 months,108697,5-10 years,Education,Fully Paid
CST1506,9/30/2021,148026,14.18,60 months,127703,10+ years,Small Business,Late
CST1507,11/8/2019,340484,23.99,60 months,157635,5-10 years,Debt Consolidation,Current
CST1508,8/8/2016,470317,15.5,36 months,181842,10+ years,Credit Card,Fully Paid
CST1509,8/17/2015,469736,9.42,36 months,37689,< 1 year,Education,Late
CST1510,2/7/2017,223134,16.23,36 months,139818,5-10 years,Small Business,Fully Paid
CST1511,5/17/2015,107974,10.46,36 months,18290,5-10 years,Debt Consolidation,Charged Off
CST1512,11/11/2023,154646,17.64,60 months,89215,3-5 years,Education,Current
CST1513,7/23/2023,407400,22.91,60 months,153879,1-3 years,Debt Consolidation,Fully Paid
CST1514,6/9/2020,155168,20.26,36 months,123983,1-3 years,Car Loan,Charged Off
CST1515,4/25/2017,72728,11.28,36 months,135819,1-3 years,Vacation,Current
CST1516,3/31/2017,170088,11.7,36 months,165546,3-5 years,Education,Fully Paid
CST1517,8/11/2017,16246,7.71,60 months,76111,5-10 years,Medical,Charged Off
CST1518,4/17/2015,443774,11.5,60 months,187864,5-10 years,Home Improvement,Fully Paid
CST1519,8/25/2021,416597,8.12,36 months,198478,< 1 year,Home Improvement,Charged Off
CST1520,11/25/2016,394940,15.24,60 months,179446,3-5 years,Home Improvement,Fully Paid
CST1521,11/22/2020,434671,18.9,60 months,157157,1-3 years,Car Loan,Fully Paid
CST1522,8/13/2022,97263,19.65,36 months,32052,5-10 years,Debt Consolidation,Fully Paid
CST1523,11/22/2015,402234,7.54,36 months,138594,5-10 years,Vacation,Fully Paid
CST1524,8/28/2021,16302,12.45,36 months,151127,10+ years,Vacation,Fully Paid
CST1525,5/16/2022,334650,11.54,36 months,162949,10+ years,Home Improvement,Fully Paid
CST1526,9/27/2023,46157,8.33,36 months,65047,5-10 years,Car Loan,Fully Paid
CST1527,12/19/2020,59917,12.84,36 months,57600,5-10 years,Home Improvement,Fully Paid
CST1528,9/28/2022,228810,11.74,60 months,112254,1-3 years,Car Loan,Fully Paid
CST1529,1/5/2022,101646,17.6,36 months,120402,10+ years,Medical,Charged Off
CST1530,7/12/2022,350266,21.96,36 months,166609,3-5 years,Vacation,Current
CST1531,7/27/2019,291663,14.46,36 months,167577,1-3 years,Education,Charged Off
CST1532,6/8/2019,495025,19.57,36 months,166013,3-5 years,Medical,Fully Paid
CST1533,6/30/2020,485703,9.06,60 months,169451,3-5 years,Medical,Current
CST1534,11/27/2023,455035,22.16,36 months,43033,3-5 years,Education,Fully Paid
CST1535,4/14/2015,348054,9.17,60 months,139465,5-10 years,Home Improvement,Fully Paid
CST1536,1/31/2016,387574,9.86,36 months,178238,5-10 years,Debt Consolidation,Fully Paid
CST1537,6/28/2016,338468,8.36,36 months,116201,1-3 years,Home Improvement,Fully Paid
CST1538,4/21/2015,272552,11.92,60 months,179381,10+ years,Medical,Current
CST1539,4/21/2017,64379,16.17,60 months,166766,3-5 years,Credit Card,Current
CST1540,12/7/2015,30053,23.79,60 months,130711,3-5 years,Home Improvement,Charged Off
CST1541,12/2/2020,407662,20.38,60 months,108186,< 1 year,Home Improvement,Fully Paid
CST1542,8/15/2021,136994,13.16,60 months,119921,5-10 years,Vacation,Fully Paid
CST1543,12/25/2018,103723,16.58,60 months,180011,10+ years,Car Loan,Fully Paid
CST1544,1/24/2021,56356,17.41,36 months,122030,5-10 years,Credit Card,Current
CST1545,2/24/2023,277933,20.9,60 months,65353,5-10 years,Debt Consolidation,Fully Paid
CST1546,5/5/2022,364864,19.39,36 months,48392,< 1 year,Medical,Fully Paid
CST1547,2/16/2017,333800,16.46,36 months,99704,10+ years,Car Loan,Current
CST1548,7/31/2017,311172,18.21,36 months,109710,10+ years,Medical,Current
CST1549,4/15/2016,331628,19.55,60 months,103549,10+ years,Debt Consolidation,Fully Paid
CST1550,11/26/2015,37154,8.83,60 months,184636,5-10 years,Car Loan,Fully Paid
CST1551,9/27/2015,218942,10.01,60 months,87635,1-3 years,Debt Consolidation,Current
CST1552,5/22/2022,269480,18.55,36 months,81289,1-3 years,Vacation,Fully Paid
CST1553,3/28/2015,370821,21.38,36 months,193790,5-10 years,Medical,Charged Off
CST1554,4/20/2018,334923,13.66,36 months,26567,1-3 years,Education,Current
CST1555,4/29/2023,286173,23.65,36 months,53637,1-3 years,Credit Card,Fully Paid
CST1556,9/19/2018,326345,10.28,60 months,199570,10+ years,Vacation,Fully Paid
CST1557,2/28/2018,37265,13.79,36 months,61283,5-10 years,Car Loan,Late
CST1558,9/12/2022,370060,13.12,36 months,186959,1-3 years,Credit Card,Fully Paid
CST1559,4/16/2021,248322,22.78,36 months,171112,1-3 years,Car Loan,Fully Paid
CST1560,7/12/2015,179944,11.49,60 months,28004,1-3 years,Small Business,Fully Paid
CST1561,9/28/2017,51197,14.74,36 months,192487,5-10 years,Car Loan,Fully Paid
CST1562,9/5/2022,392877,9.78,36 months,185301,3-5 years,Education,Fully Paid
CST1563,6/18/2016,453396,15.62,36 months,38352,< 1 year,Vacation,Fully Paid
CST1564,11/4/2021,159782,21.5,60 months,142127,3-5 years,Medical,Charged Off
CST1565,9/8/2019,165558,11.82,60 months,182921,1-3 years,Debt Consolidation,Current
CST1566,3/21/2018,76907,20.69,60 months,71592,3-5 years,Car Loan,Current
CST1567,9/27/2022,396020,22.45,60 months,163650,1-3 years,Credit Card,Fully Paid
CST1568,7/17/2020,207967,7.78,36 months,131991,3-5 years,Car Loan,Fully Paid
CST1569,3/22/2017,331579,19.74,36 months,191523,10+ years,Credit Card,Charged Off
CST1570,3/26/2017,307775,10.97,60 months,62875,3-5 years,Small Business,Current
CST1571,9/28/2016,396182,9.57,60 months,92554,1-3 years,Home Improvement,Fully Paid
CST1572,5/2/2017,237604,17.02,36 months,149238,< 1 year,Car Loan,Fully Paid
CST1573,7/19/2018,287247,18.85,36 months,133150,< 1 year,Vacation,Fully Paid
CST1574,2/8/2017,69772,13.41,36 months,135758,5-10 years,Debt Consolidation,Current
CST1575,10/31/2018,131108,7.19,60 months,115170,1-3 years,Medical,Late
CST1576,4/30/2018,19382,22.4,60 months,166424,5-10 years,Medical,Fully Paid
CST1577,5/26/2023,89291,19.29,60 months,178920,1-3 years,Credit Card,Charged Off
CST1578,9/3/2015,368339,11.25,60 months,159179,1-3 years,Vacation,Current
CST1579,12/5/2020,139828,15.2,36 months,33452,3-5 years,Vacation,Fully Paid
CST1580,9/10/2016,287753,6.99,60 months,90675,< 1 year,Car Loan,Current
CST1581,6/4/2019,152550,12.44,36 months,106108,5-10 years,Small Business,Charged Off
CST1582,9/8/2015,237050,15.64,60 months,74861,3-5 years,Home Improvement,Fully Paid
CST1583,5/21/2019,437882,15.55,36 months,45984,3-5 years,Education,Fully Paid
CST1584,3/29/2023,342827,10.14,36 months,89548,3-5 years,Home Improvement,Fully Paid
CST1585,6/2/2020,497313,20.09,36 months,58567,< 1 year,Vacation,Fully Paid
CST1586,3/7/2016,391858,11.73,36 months,178289,1-3 years,Debt Consolidation,Late
CST1587,7/17/2019,135330,16.66,60 months,191382,1-3 years,Home Improvement,Charged Off
CST1588,7/1/2022,498636,11.25,36 months,31428,5-10 years,Home Improvement,Late
CST1589,12/1/2017,76315,13.94,36 months,82680,5-10 years,Home Improvement,Fully Paid
CST1590,7/30/2017,344978,10.13,36 months,17787,10+ years,Medical,Current
CST1591,6/22/2017,393349,17.58,60 months,101935,5-10 years,Medical,Fully Paid
CST1592,11/29/2016,19153,13.95,36 months,127563,1-3 years,Car Loan,Current
CST1593,5/11/2021,81325,6.78,36 months,134160,3-5 years,Small Business,Late
CST1594,12/4/2019,245773,6.99,36 months,179046,3-5 years,Medical,Current
CST1595,8/2/2020,411215,14.74,36 months,187448,5-10 years,Debt Consolidation,Fully Paid
CST1596,1/16/2019,60318,9.71,36 months,38684,< 1 year,Car Loan,Fully Paid
CST1597,2/19/2019,399030,16.74,36 months,105557,5-10 years,Debt Consolidation,Charged Off
CST1598,12/14/2018,382177,13.64,36 months,165914,1-3 years,Credit Card,Current
CST1599,8/8/2015,81077,17.95,36 months,167287,10+ years,Education,Fully Paid
CST1600,6/17/2016,357618,23.17,36 months,112711,10+ years,Education,Current
CST1601,1/6/2022,138515,15.75,36 months,187820,1-3 years,Medical,Fully Paid
CST1602,6/20/2021,474209,20.28,36 months,20940,10+ years,Home Improvement,Fully Paid
CST1603,2/11/2015,211988,19.68,60 months,46744,1-3 years,Education,Late
CST1604,11/21/2016,340463,22.63,60 months,132145,1-3 years,Car Loan,Fully Paid
CST1605,12/7/2018,130885,10.25,36 months,88882,3-5 years,Small Business,Fully Paid
CST1606,10/29/2022,376921,20.98,36 months,49787,1-3 years,Education,Fully Paid
CST1607,1/16/2021,22368,22.35,60 months,190662,3-5 years,Credit Card,Fully Paid
CST1608,11/3/2017,151400,13.37,36 months,168632,1-3 years,Education,Fully Paid
CST1609,5/1/2022,193014,11.99,60 months,161219,10+ years,Debt Consolidation,Fully Paid
CST1610,3/5/2023,96751,23.16,60 months,150508,10+ years,Home Improvement,Current
CST1611,11/14/2022,235203,17.48,36 months,139472,1-3 years,Medical,Charged Off
CST1612,3/29/2019,294450,13.16,60 months,84647,1-3 years,Credit Card,Fully Paid
CST1613,1/30/2022,483667,20.36,36 months,48948,5-10 years,Car Loan,Current
CST1614,1/7/2022,175987,11.83,60 months,49707,5-10 years,Home Improvement,Current
CST1615,9/12/2017,304363,9.59,36 months,165407,5-10 years,Vacation,Current
CST1616,11/18/2017,216951,16.02,36 months,162886,1-3 years,Debt Consolidation,Late
CST1617,6/20/2021,200716,16.41,36 months,178240,1-3 years,Car Loan,Current
CST1618,8/7/2017,65279,20.95,36 months,106654,5-10 years,Car Loan,Fully Paid
CST1619,10/25/2023,320172,14.5,36 months,20691,1-3 years,Debt Consolidation,Fully Paid
CST1620,1/3/2023,371407,20.76,36 months,27176,< 1 year,Debt Consolidation,Fully Paid
CST1621,9/23/2022,5126,11.95,60 months,114529,1-3 years,Medical,Fully Paid
CST1622,7/24/2023,319473,16.57,36 months,177724,3-5 years,Car Loan,Fully Paid
CST1623,4/10/2017,32632,10.15,60 months,191370,10+ years,Vacation,Current
CST1624,3/16/2020,201382,13.25,60 months,165614,10+ years,Medical,Fully Paid
CST1625,7/27/2023,114945,21.51,36 months,137093,3-5 years,Vacation,Fully Paid
CST1626,1/9/2016,322320,10.28,36 months,29824,5-10 years,Car Loan,Fully Paid
CST1627,5/26/2018,255869,20.68,60 months,195927,3-5 years,Home Improvement,Fully Paid
CST1628,11/21/2019,222138,11.45,60 months,193161,10+ years,Car Loan,Fully Paid
CST1629,10/9/2020,180399,7.1,36 months,77929,1-3 years,Vacation,Fully Paid
CST1630,1/6/2016,467120,8.42,36 months,62645,5-10 years,Debt Consolidation,Fully Paid
CST1631,12/25/2017,139869,19.55,36 months,126590,5-10 years,Home Improvement,Charged Off
CST1632,4/12/2016,183954,11.09,36 months,187549,5-10 years,Credit Card,Charged Off
CST1633,8/19/2019,149790,17.95,36 months,138214,10+ years,Debt Consolidation,Fully Paid
CST1634,9/22/2019,39560,18.74,36 months,59060,1-3 years,Car Loan,Fully Paid
CST1635,6/25/2017,343733,12.54,36 months,17284,3-5 years,Home Improvement,Current
CST1636,11/21/2018,289260,14.81,60 months,143143,10+ years,Debt Consolidation,Fully Paid
CST1637,11/15/2023,434460,13.57,60 months,49888,5-10 years,Car Loan,Charged Off
CST1638,6/17/2021,499937,23.08,60 months,113757,3-5 years,Education,Current
CST1639,3/8/2017,137717,12.1,36 months,188645,5-10 years,Medical,Fully Paid
CST1640,3/5/2023,183595,9.71,60 months,54824,3-5 years,Debt Consolidation,Fully Paid
CST1641,3/2/2017,129085,12.9,36 months,165327,5-10 years,Car Loan,Charged Off
CST1642,4/3/2017,384862,18.22,60 months,94754,5-10 years,Small Business,Current
CST1643,3/19/2017,286400,18.7,60 months,139443,10+ years,Education,Fully Paid
CST1644,4/17/2019,499592,22.67,36 months,139934,1-3 years,Car Loan,Current
CST1645,11/15/2016,105158,21.93,60 months,92536,1-3 years,Home Improvement,Late
CST1646,1/24/2019,189245,11.55,36 months,174388,1-3 years,Home Improvement,Fully Paid
CST1647,7/27/2023,173502,14.47,36 months,159028,5-10 years,Credit Card,Fully Paid
CST1648,5/8/2016,437498,19.58,36 months,105684,3-5 years,Debt Consolidation,Current
CST1649,7/20/2018,386863,22.54,60 months,168665,3-5 years,Vacation,Charged Off
CST1650,1/15/2022,461590,12.4,60 months,126091,5-10 years,Medical,Charged Off
CST1651,3/6/2017,335388,14.28,60 months,198197,5-10 years,Small Business,Fully Paid
CST1652,9/2/2023,147766,22.24,60 months,154831,3-5 years,Home Improvement,Late
CST1653,12/5/2020,323408,12.77,60 months,164611,< 1 year,Medical,Fully Paid
CST1654,7/3/2016,473276,14.91,36 months,49800,1-3 years,Vacation,Fully Paid
CST1655,9/17/2020,495632,22.33,36 months,189078,1-3 years,Credit Card,Fully Paid
CST1656,10/2/2022,62545,20.54,60 months,197473,5-10 years,Small Business,Fully Paid
CST1657,9/21/2019,306368,10.76,36 months,176201,1-3 years,Small Business,Current
CST1658,11/11/2017,365089,12.18,36 months,155769,< 1 year,Debt Consolidation,Charged Off
CST1659,3/31/2016,18224,12.68,60 months,176889,3-5 years,Home Improvement,Fully Paid
CST1660,12/16/2021,45738,22.47,36 months,64508,10+ years,Car Loan,Fully Paid
CST1661,9/12/2020,423366,23.98,36 months,196496,10+ years,Vacation,Current
CST1662,4/1/2020,330875,20.05,60 months,140489,5-10 years,Car Loan,Current
CST1663,11/5/2015,185760,14.98,36 months,113999,5-10 years,Education,Current
CST1664,8/7/2022,498145,6.68,36 months,21799,10+ years,Vacation,Fully Paid
CST1665,9/21/2015,244690,18.71,36 months,84956,5-10 years,Car Loan,Fully Paid
CST1666,5/30/2018,471725,13.31,60 months,80652,1-3 years,Medical,Charged Off
CST1667,7/8/2023,144649,17.58,36 months,84068,< 1 year,Education,Current
CST1668,12/31/2018,13070,17.12,60 months,141784,1-3 years,Debt Consolidation,Fully Paid
CST1669,1/1/2015,131161,14.91,60 months,84445,3-5 years,Vacation,Current
CST1670,5/28/2021,13666,23.03,60 months,29014,1-3 years,Vacation,Charged Off
CST1671,5/20/2019,324905,6.91,60 months,154371,5-10 years,Credit Card,Current
CST1672,12/22/2015,303512,18.96,60 months,94368,3-5 years,Credit Card,Current
CST1673,3/4/2020,142855,13.67,36 months,169278,3-5 years,Credit Card,Current
CST1674,10/5/2017,46914,18.99,60 months,189961,1-3 years,Credit Card,Current
CST1675,8/18/2016,206579,18.32,36 months,95353,5-10 years,Vacation,Fully Paid
CST1676,10/29/2020,132738,6.68,36 months,127065,10+ years,Debt Consolidation,Fully Paid
CST1677,5/13/2023,477242,11.49,60 months,107996,3-5 years,Home Improvement,Charged Off
CST1678,3/9/2023,251965,9.81,36 months,199839,1-3 years,Small Business,Fully Paid
CST1679,5/9/2018,334670,9.42,36 months,155189,3-5 years,Car Loan,Current
CST1680,5/1/2017,469051,19.25,60 months,148835,3-5 years,Debt Consolidation,Fully Paid
CST1681,5/28/2016,443981,10.69,36 months,124044,< 1 year,Education,Fully Paid
CST1682,10/23/2019,287100,14.81,36 months,194357,5-10 years,Credit Card,Fully Paid
CST1683,7/21/2018,223967,10.82,60 months,44587,5-10 years,Home Improvement,Fully Paid
CST1684,10/19/2020,313384,16.65,36 months,178438,1-3 years,Debt Consolidation,Fully Paid
CST1685,8/4/2023,388152,19.11,60 months,32584,10+ years,Credit Card,Fully Paid
CST1686,11/17/2023,435364,12.29,36 months,15948,5-10 years,Small Business,Fully Paid
CST1687,7/13/2022,99270,17.05,60 months,163173,3-5 years,Home Improvement,Fully Paid
CST1688,5/5/2022,271901,20.93,36 months,156802,3-5 years,Car Loan,Fully Paid
CST1689,9/16/2018,24097,8.15,36 months,114551,3-5 years,Car Loan,Charged Off
CST1690,8/14/2020,146467,18.94,36 months,128450,5-10 years,Vacation,Charged Off
CST1691,7/27/2016,152313,12.16,60 months,149219,3-5 years,Vacation,Fully Paid
CST1692,10/13/2019,371036,8.65,36 months,31480,1-3 years,Medical,Current
CST1693,11/5/2021,163768,16.05,60 months,146624,5-10 years,Education,Current
CST1694,4/1/2018,251726,10.46,36 months,120896,3-5 years,Education,Fully Paid
CST1695,10/29/2017,337624,20.87,60 months,68033,3-5 years,Car Loan,Current
CST1696,10/1/2023,51163,7.25,36 months,146940,5-10 years,Home Improvement,Current
CST1697,9/23/2023,24816,8.23,36 months,38043,3-5 years,Small Business,Fully Paid
CST1698,2/7/2016,448056,15.62,60 months,148932,< 1 year,Medical,Current
CST1699,3/18/2019,238619,16.81,60 months,16841,1-3 years,Home Improvement,Charged Off
CST1700,7/24/2022,319997,19.27,60 months,82087,5-10 years,Medical,Fully Paid
CST1701,1/17/2022,160989,11.04,36 months,165008,3-5 years,Vacation,Current
CST1702,3/3/2018,101731,21.23,60 months,124111,1-3 years,Vacation,Fully Paid
CST1703,1/6/2017,157638,23.18,36 months,174441,< 1 year,Home Improvement,Current
CST1704,7/31/2019,211524,15.23,60 months,50227,5-10 years,Car Loan,Fully Paid
CST1705,6/29/2021,67823,19.81,36 months,96991,< 1 year,Vacation,Fully Paid
CST1706,5/21/2022,156878,15.68,36 months,36239,3-5 years,Medical,Current
CST1707,9/21/2017,211592,7.72,60 months,197890,1-3 years,Home Improvement,Current
CST1708,11/7/2020,6759,12.21,36 months,19220,< 1 year,Credit Card,Current
CST1709,1/5/2016,262164,8.03,60 months,77897,3-5 years,Debt Consolidation,Fully Paid
CST1710,4/25/2018,440165,23.81,60 months,197122,3-5 years,Education,Current
CST1711,11/15/2022,359518,10.51,60 months,92904,10+ years,Credit Card,Fully Paid
CST1712,6/28/2017,138554,17.63,36 months,152746,1-3 years,Credit Card,Fully Paid
CST1713,8/1/2018,291586,11.48,60 months,23296,5-10 years,Car Loan,Current
CST1714,8/15/2017,431935,17.93,36 months,38999,5-10 years,Car Loan,Fully Paid
CST1715,1/25/2022,456282,10.18,60 months,49408,3-5 years,Car Loan,Fully Paid
CST1716,3/16/2019,98501,20.24,36 months,165752,< 1 year,Debt Consolidation,Fully Paid
CST1717,2/21/2019,269223,8.44,36 months,164333,1-3 years,Medical,Fully Paid
CST1718,11/11/2019,400933,22.17,36 months,107057,10+ years,Medical,Current
CST1719,1/29/2017,64676,21.21,60 months,99512,3-5 years,Car Loan,Fully Paid
CST1720,6/20/2017,426168,18.38,60 months,45270,1-3 years,Education,Fully Paid
CST1721,1/23/2023,222516,7.68,60 months,97825,3-5 years,Car Loan,Current
CST1722,2/5/2019,178532,10.15,36 months,166759,5-10 years,Small Business,Fully Paid
CST1723,2/7/2017,95397,21.54,36 months,116672,5-10 years,Home Improvement,Current
CST1724,7/20/2021,77847,8.63,36 months,117526,1-3 years,Medical,Fully Paid
CST1725,7/27/2022,98607,9.23,36 months,180661,< 1 year,Medical,Charged Off
CST1726,9/17/2022,225178,16.02,60 months,148582,5-10 years,Vacation,Fully Paid
CST1727,11/6/2017,154521,11.3,36 months,36285,3-5 years,Home Improvement,Fully Paid
CST1728,10/22/2021,431752,10.39,36 months,45549,< 1 year,Car Loan,Fully Paid
CST1729,3/19/2021,69077,16.58,60 months,61805,5-10 years,Small Business,Charged Off
CST1730,12/6/2015,305402,13.02,60 months,155728,5-10 years,Small Business,Fully Paid
CST1731,2/17/2023,184374,8.96,60 months,187959,5-10 years,Home Improvement,Fully Paid
CST1732,9/13/2017,262009,15.86,36 months,37775,1-3 years,Home Improvement,Fully Paid
CST1733,2/27/2017,427081,13.27,36 months,76504,3-5 years,Debt Consolidation,Current
CST1734,1/3/2020,142717,19.35,36 months,15055,1-3 years,Small Business,Charged Off
CST1735,5/23/2021,386915,8.3,60 months,180551,5-10 years,Debt Consolidation,Fully Paid
CST1736,7/15/2018,43000,17.36,36 months,63923,5-10 years,Medical,Fully Paid
CST1737,7/23/2020,31737,14.14,36 months,142406,1-3 years,Education,Current
CST1738,10/8/2015,278629,13.61,36 months,55896,3-5 years,Car Loan,Fully Paid
CST1739,7/9/2022,305709,10.57,60 months,39501,< 1 year,Vacation,Charged Off
CST1740,8/4/2016,423738,7.03,36 months,38438,10+ years,Car Loan,Fully Paid
CST1741,3/11/2023,386758,21.33,36 months,77512,5-10 years,Debt Consolidation,Fully Paid
CST1742,12/28/2021,332299,12.21,36 months,21093,5-10 years,Education,Fully Paid
CST1743,2/6/2015,191240,18.42,36 months,40147,5-10 years,Debt Consolidation,Fully Paid
CST1744,1/31/2022,57487,23.08,36 months,129412,3-5 years,Car Loan,Current
CST1745,2/25/2020,397092,16.39,36 months,188017,10+ years,Medical,Fully Paid
CST1746,11/5/2023,279486,13.45,60 months,49896,3-5 years,Medical,Fully Paid
CST1747,3/5/2019,307950,11.19,60 months,35435,5-10 years,Home Improvement,Fully Paid
CST1748,11/2/2015,315914,22.85,60 months,74428,1-3 years,Car Loan,Current
CST1749,7/22/2015,83623,18.44,36 months,65153,10+ years,Home Improvement,Charged Off
CST1750,6/23/2015,370321,18.14,60 months,21171,1-3 years,Vacation,Fully Paid
CST1751,2/5/2020,498001,13.96,36 months,64953,10+ years,Home Improvement,Late
CST1752,11/1/2021,398170,21.29,60 months,48604,5-10 years,Car Loan,Late
CST1753,11/5/2020,342773,18.99,60 months,187103,3-5 years,Credit Card,Current
CST1754,5/2/2018,388137,11.46,36 months,70988,3-5 years,Small Business,Current
CST1755,1/30/2021,188675,16.99,36 months,153182,1-3 years,Credit Card,Current
CST1756,1/14/2017,394088,14.03,60 months,15973,3-5 years,Credit Card,Current
CST1757,6/6/2018,218046,6.62,60 months,161768,1-3 years,Education,Current
CST1758,12/29/2022,110947,20.63,36 months,163238,10+ years,Car Loan,Fully Paid
CST1759,11/10/2018,293543,8.65,36 months,154590,5-10 years,Debt Consolidation,Late
CST1760,4/15/2015,133177,15.42,60 months,16524,1-3 years,Vacation,Current
CST1761,1/21/2019,221454,12.38,60 months,152185,1-3 years,Home Improvement,Charged Off
CST1762,1/9/2015,479460,12.49,60 months,150518,< 1 year,Education,Current
CST1763,11/25/2019,114575,14.85,60 months,62215,1-3 years,Home Improvement,Fully Paid
CST1764,5/29/2016,378048,23.95,60 months,16699,5-10 years,Debt Consolidation,Charged Off
CST1765,11/11/2019,212606,13.65,60 months,130550,1-3 years,Home Improvement,Fully Paid
CST1766,3/4/2022,453322,9.69,60 months,114091,5-10 years,Car Loan,Current
CST1767,5/8/2020,297822,17.24,36 months,122667,10+ years,Debt Consolidation,Charged Off
CST1768,12/17/2017,81218,10.64,60 months,83205,10+ years,Car Loan,Charged Off
CST1769,6/2/2019,68230,8.35,60 months,175134,5-10 years,Education,Charged Off
CST1770,10/9/2021,250756,7.38,36 months,30389,5-10 years,Credit Card,Fully Paid
CST1771,11/22/2022,341199,6.9,36 months,36770,5-10 years,Small Business,Fully Paid
CST1772,9/19/2020,454589,14.05,60 months,30204,1-3 years,Debt Consolidation,Late
CST1773,7/12/2015,167552,13.97,36 months,58456,5-10 years,Vacation,Current
CST1774,3/6/2021,483446,9.75,36 months,52477,3-5 years,Debt Consolidation,Fully Paid
CST1775,3/28/2022,467052,20.22,60 months,194104,1-3 years,Education,Charged Off
CST1776,1/19/2022,339402,8.76,36 months,136903,< 1 year,Car Loan,Late
CST1777,4/5/2023,44986,22.52,36 months,48895,3-5 years,Small Business,Fully Paid
CST1778,2/24/2017,160232,16.78,60 months,70690,1-3 years,Credit Card,Fully Paid
CST1779,2/2/2022,352739,6.98,36 months,133389,5-10 years,Education,Current
CST1780,8/6/2016,106358,23.35,36 months,112089,1-3 years,Small Business,Current
CST1781,8/14/2015,477327,11.89,36 months,91355,3-5 years,Medical,Fully Paid
CST1782,11/21/2019,332073,14.37,60 months,186893,5-10 years,Education,Fully Paid
CST1783,3/11/2018,78506,11.47,36 months,104912,5-10 years,Education,Current
CST1784,7/27/2022,39911,19.25,36 months,123916,< 1 year,Vacation,Late
CST1785,11/7/2016,354271,15,36 months,108663,5-10 years,Education,Fully Paid
CST1786,1/19/2018,430037,8.82,36 months,162012,5-10 years,Car Loan,Fully Paid
CST1787,1/6/2018,211111,8.32,60 months,30259,3-5 years,Medical,Current
CST1788,8/18/2020,458751,19.19,60 months,154577,3-5 years,Education,Fully Paid
CST1789,1/12/2015,380597,10.65,36 months,186566,10+ years,Credit Card,Fully Paid
CST1790,6/6/2019,89458,8.91,60 months,112028,5-10 years,Home Improvement,Current
CST1791,7/13/2017,17175,15.24,36 months,122348,3-5 years,Education,Current
CST1792,9/9/2019,386379,20.55,36 months,89670,10+ years,Credit Card,Current
CST1793,9/9/2015,321915,11.38,36 months,70008,3-5 years,Home Improvement,Fully Paid
CST1794,5/1/2023,394301,11.34,60 months,92074,10+ years,Car Loan,Fully Paid
CST1795,4/18/2019,126300,21.09,36 months,50559,1-3 years,Car Loan,Fully Paid
CST1796,7/2/2016,91925,9.09,60 months,39326,< 1 year,Education,Charged Off
CST1797,12/7/2021,249446,17.29,36 months,96389,10+ years,Education,Fully Paid
CST1798,4/19/2018,71358,23.21,36 months,53478,5-10 years,Vacation,Current
CST1799,12/29/2016,415543,21.22,60 months,193276,3-5 years,Credit Card,Charged Off
CST1800,11/13/2021,52057,7.58,36 months,33325,10+ years,Small Business,Current
CST1801,11/25/2018,273294,12.1,60 months,78134,1-3 years,Debt Consolidation,Charged Off
CST1802,1/16/2023,271569,8.99,60 months,115164,< 1 year,Car Loan,Late
CST1803,11/6/2017,259726,23.11,36 months,85816,1-3 years,Small Business,Fully Paid
CST1804,6/25/2017,283176,23.75,60 months,141413,1-3 years,Education,Fully Paid
CST1805,7/10/2023,7198,10.61,60 months,115298,3-5 years,Education,Charged Off
CST1806,6/3/2015,458716,18.22,60 months,36395,3-5 years,Education,Fully Paid
CST1807,1/21/2020,189466,21.23,36 months,46210,< 1 year,Medical,Fully Paid
CST1808,8/21/2023,418295,10.59,60 months,65511,5-10 years,Credit Card,Current
CST1809,9/26/2023,172292,9.78,60 months,170720,3-5 years,Vacation,Fully Paid
CST1810,7/15/2016,440090,6.7,60 months,47690,5-10 years,Small Business,Fully Paid
CST1811,6/20/2019,149931,13.71,36 months,53980,10+ years,Medical,Late
CST1812,6/11/2022,448676,22.24,60 months,174825,< 1 year,Education,Fully Paid
CST1813,10/23/2023,167491,22.3,60 months,139792,10+ years,Small Business,Charged Off
CST1814,6/30/2020,386009,8.74,36 months,56179,1-3 years,Small Business,Fully Paid
CST1815,8/26/2022,406921,10.08,60 months,154346,1-3 years,Home Improvement,Fully Paid
CST1816,2/7/2017,441096,13.64,60 months,77348,10+ years,Home Improvement,Charged Off
CST1817,12/29/2022,265910,20.16,60 months,73961,3-5 years,Small Business,Current
